ACCELEROMETRO X (m/s²);ACCELEROMETRO Y (m/s²);ACCELEROMETRO Z (m/s²);GIROSCOPIO X (rad/s);GIROSCOPIO Y (rad/s);GIROSCOPIO Z (rad/s);CAMPO MAGNETICO X (μT);CAMPO MAGNETICO Y (μT);CAMPO MAGNETICO Z (μT);ORIENTAMENTO X (°);ORIENTAMENTO Y (°);ORIENTAMENTO Z (°);Temperatura ( °C);Livello (%);Voltaggio (Volt);Tempo da inizio in ms ; 
0.686; 8.2612; 5.3583; -0.031; 0.0; 0.0; 42.0; -53.4; 45.0; 207.1873; -56.9572; -6.4588; 27.2; 82.0; 3.969; 15; 
0.663; 8.274; 5.3753; -0.0758; -0.0345; 0.0; 42.0; -52.8; 44.4; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 217; 
0.688; 8.2291; 5.3752; 0.0; -0.0185; 0.0; 42.0; -52.8; 43.8; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 419; 
0.6749; 8.247; 5.3728; -0.0353; 0.0; 0.0; 42.0; -51.6; 43.8; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 642; 
0.666; 8.2329; 5.3232; 0.0265; 0.0; 0.0; 40.8; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 877; 
0.6962; 8.1706; 5.268; 0.1139; 0.1402; 0.0; 40.8; -53.1; 42.9; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1078; 
0.6874; 8.1904; 5.3033; 0.1395; 0.1349; 0.0; 42.0; -53.1; 43.5; 207.922; -57.2739; -6.4588; 27.2; 82.0; 3.969; 1287; 
0.6803; 8.2223; 5.346; 0.0894; 0.0581; 0.0; 41.7; -53.4; 44.4; 207.922; -57.2739; -6.4588; 27.2; 82.0; 3.969; 1489; 
0.6615; 8.2878; 5.3427; -0.0449; 0.0; 0.0; 41.1; -53.4; 44.1; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1690; 
0.6895; 8.263; 5.4389; 0.1949; 0.0314; 0.0; 40.2; -53.4; 42.3; 207.3685; -56.9572; -6.4588; 27.2; 82.0; 3.969; 1910; 
0.66; 8.1872; 5.3363; -0.0417; -0.202; 0.0; 40.5; -52.8; 43.2; 207.3685; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2116; 
0.7234; 8.2149; 5.3289; 0.0; 0.025; 0.0; 40.2; -53.7; 43.8; 206.4756; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2317; 
0.87; 8.0576; 5.1146; 0.4709; 0.4481; 0.0245; 42.0; -53.1; 42.6; 206.4756; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2520; 
0.666; 8.2693; 5.4294; -0.0833; -0.0486; 0.0; 42.3; -53.7; 43.8; 207.703; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2723; 
0.6714; 8.2258; 5.3638; 0.0; -0.0219; 0.0; 41.1; -53.4; 44.4; 207.703; -56.9572; -6.4588; 27.2; 82.0; 3.969; 2925; 
0.685; 8.2263; 5.3518; 0.0; 0.0; 0.0; 41.1; -53.4; 44.1; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3165; 
0.7152; 8.1859; 5.3328; 0.0286; 0.0185; 0.0; 42.0; -52.8; 43.8; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3367; 
0.7061; 8.1964; 5.3783; 0.0254; 0.0; 0.0; 41.7; -52.8; 44.1; 207.8877; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3569; 
0.6597; 8.2329; 5.3409; 0.0; 0.0333; 0.0; 42.0; -52.5; 43.2; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3773; 
0.7809; 8.2475; 5.349; -0.0354; -0.0201; 0.0; 41.7; -52.8; 42.3; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 3975; 
0.7074; 8.1729; 5.3036; 0.0435; 0.0343; 0.0; 41.4; -53.1; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4179; 
0.7008; 8.1965; 5.4038; -0.0397; -0.0191; 0.0; 40.8; -52.5; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4381; 
0.6443; 8.2248; 5.2824; 0.0381; 0.0; 0.0; 41.7; -52.8; 43.5; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4595; 
0.7264; 8.2127; 5.3286; 0.0296; 0.0565; 0.0; 41.7; -51.3; 43.8; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 4802; 
0.6996; 8.1688; 5.3756; 0.0; 0.0; 0.0; 42.3; -51.9; 42.6; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5010; 
0.6714; 8.2332; 5.3529; 0.0413; 0.0266; 0.0; 41.7; -53.1; 43.2; 208.247; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5210; 
0.6697; 8.2255; 5.359; 0.0178; 0.0; 0.0; 42.0; -52.2; 43.8; 208.247; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5411; 
0.7288; 8.1847; 5.3116; 0.0; 0.0201; 0.0; 41.4; -52.8; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5614; 
0.7071; 8.1896; 5.3461; -0.0302; 0.0; 0.0; 42.0; -52.2; 43.2; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 5816; 
0.6181; 8.2167; 5.3309; 0.0273; 0.0; 0.0; 42.0; -51.6; 42.9; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6018; 
0.7046; 8.2336; 5.3352; 0.0; 0.0; 0.0; 41.4; -52.8; 43.5; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6227; 
0.7056; 8.2035; 5.3574; 0.0252; 0.0; 0.0; 41.7; -51.9; 42.6; 207.2757; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6429; 
0.6859; 8.2532; 5.3803; 0.0; 0.0; 0.0; 41.1; -52.2; 42.9; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6632; 
0.6868; 8.2178; 5.3512; 0.0241; -0.0217; 0.0; 41.7; -52.5; 43.5; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 6833; 
0.6493; 8.2071; 5.3271; 0.0241; 0.0; 0.0; 42.9; -52.5; 42.6; 209.0464; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7034; 
0.7432; 8.2064; 5.3792; -0.0271; 0.0; 0.0; 42.0; -52.8; 42.6; 209.0464; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7236; 
0.6634; 8.1983; 5.343; 0.0517; 0.025; 0.0; 41.7; -51.9; 42.9; 208.4379; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7439; 
0.6696; 8.2437; 5.3677; -0.0442; -0.0176; 0.0; 41.7; -51.0; 43.5; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7644; 
0.6838; 8.2137; 5.3852; 0.0; 0.0; 0.0; 42.3; -51.6; 43.8; 208.2639; -56.9572; -6.4588; 27.2; 82.0; 3.969; 7848; 
0.7586; 8.2719; 5.4746; -0.4087; 0.3042; 0.0; 41.4; -51.3; 42.9; 207.2254; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8067; 
0.6935; 8.2224; 5.3184; -0.1295; -0.0891; 0.0; 40.8; -51.9; 44.4; 207.2254; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8274; 
0.6914; 8.2011; 5.2985; 0.0581; 0.0; 0.0; 41.4; -52.2; 43.2; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8475; 
0.6826; 8.2278; 5.3268; 0.0; 0.0312; 0.0; 41.1; -51.9; 43.2; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 8696; 
0.6814; 8.2184; 5.3169; 0.0452; 0.0; 0.0; 41.7; -52.5; 44.4; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 8907; 
0.7191; 8.1949; 5.3321; -0.0465; -0.0531; 0.0; 41.4; -52.8; 45.0; 206.9254; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9134; 
0.6687; 8.2327; 5.4124; 0.0281; 0.0289; 0.0; 42.0; -51.9; 43.5; 206.9254; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9334; 
0.6782; 8.1547; 5.5024; -0.023; 0.0; 0.0; 42.3; -52.5; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9535; 
0.745; 8.1224; 5.5442; 0.0; 0.0342; 0.0; 41.1; -52.2; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 9738; 
0.7687; 8.1857; 5.4505; 0.0174; 0.0235; 0.0; 43.8; -51.9; 42.9; 208.7176; -56.472; -6.3402; 27.2; 82.0; 3.969; 9944; 
0.6398; 8.3031; 5.243; -0.0444; -0.0458; 0.0; 42.3; -52.2; 43.5; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10145; 
0.6544; 8.2513; 5.322; 0.0; 0.0; 0.0; 42.0; -51.9; 44.7; 208.0746; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10381; 
0.8576; 8.0652; 5.5317; 0.0718; 0.2643; 0.0; 41.4; -52.5; 43.8; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10585; 
0.6323; 8.2669; 5.2484; 0.0217; 0.0; 0.0; 42.6; -52.8; 45.0; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10786; 
0.7377; 8.1588; 5.4214; 0.0; 0.0; 0.0; 41.4; -52.5; 44.4; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 10988; 
0.6799; 8.2281; 5.4259; -0.0466; -0.0332; 0.0; 41.1; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 11213; 
0.7107; 8.3029; 5.3636; 0.0909; -0.5629; 0.0637; 42.0; -52.2; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 11415; 
0.6607; 8.2395; 5.3791; -0.0316; -0.0481; 0.0; 40.8; -52.5; 44.1; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 11617; 
0.6733; 8.2202; 5.3933; -0.0466; -0.0492; 0.0; 39.9; -51.6; 42.6; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 11820; 
0.713; 8.1847; 5.3425; 0.0365; 0.0296; 0.0; 40.5; -52.8; 42.6; 207.6322; -56.9572; -6.4588; 27.2; 82.0; 3.969; 12056; 
0.7883; 8.2544; 5.3638; -0.0903; 0.1212; 0.0; 41.1; -52.2; 42.9; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12258; 
0.7073; 8.2067; 5.3535; 0.028; 0.0456; 0.0; 41.7; -51.3; 43.8; 207.0395; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12459; 
0.6699; 8.2239; 5.3765; -0.0466; -0.0248; 0.0; 41.1; -52.5; 43.5; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12665; 
0.6396; 8.2437; 5.3551; 0.0; 0.0; 0.0; 41.4; -53.1; 43.8; 206.6751; -56.8975; -7.5238; 27.2; 82.0; 3.969; 12866; 
0.6832; 8.2453; 5.3559; -0.0595; -0.0249; 0.0; 41.4; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13067; 
0.6365; 8.2179; 5.3686; 0.0; 0.0251; 0.0; 41.1; -51.9; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13304; 
0.7806; 8.1988; 5.4199; 0.2006; 0.1082; 0.0; 41.1; -52.2; 43.2; 207.8205; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13512; 
0.5428; 8.2368; 5.3928; 0.0258; 0.0389; 0.0; 40.8; -51.6; 42.3; 208.1874; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13713; 
0.7306; 8.2124; 5.3455; -0.036; 0.0; 0.0; 40.8; -52.2; 43.2; 208.1874; -56.9572; -6.4588; 27.2; 82.0; 3.969; 13915; 
0.766; 8.2182; 5.3413; -0.0382; 0.0217; 0.0; 40.8; -51.6; 43.5; 207.4601; -56.9572; -6.4588; 27.2; 82.0; 3.969; 14131; 
